Título,Desenvolvedor,Publicador,Exclusivo,Europa,Japão,América Do Norte,Brasil
Akiba's Trip: Undead e Undressed,Acquire,Acquire,Sony,2015,2014,2015,2014
Alienation,Housemarque,Sony Computer Entertainment,Sim,2015,2015,2015,2015
Alien: Isolation,Creative Assembly,Sega,Não,2014,2014,2014,2014
Anoko Wa Ore Kara Hanarenai,Giga,TGL,Não,—,2014,—,—
Apotheon,Alien Trap Games,Alien Trap Games,Console,2014,2014,2014,2014
Assassin's Creed Odyssey,Ubisoft Montreal,Ubisoft,Não,2018,2018,2018,2018
Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,Não,2017,2017,2017,2017
Assassin's Creed Unity,Ubisoft Toronto,Ubisoft,Não,2014,2014,2014,2014
Assassin's Creed Syndicate,Ubisoft Quebec,Ubisoft,Não,2015,2015,2015,2015
Axiom Verge,Thomas Happ Games,Thomas Happ Games,Sony,2015,2015,2015,2015
Aztez,Team Colorblind,Team Colorblind,Não,2014,2014,2014,2014
Baja: Edge of Control HD,2XL Games / BlitWorks,THQ Nordic,Não,2017,2017,2017,2017
Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,Não,2015,2015,2015,2015
Basement Crawl,Bloober Team,Bloober Team,Sim,2014,2014,2014,2014
Battlefield 4,DICE,Electronic Arts,Não,2013,2014,2013,2013
Battlefield: Hardline,Visceral Games,Electronic Arts,Não,2015,2015,2015,2015
Blast 'Em Bunnies,Nnooo,Nnooo,Console,2014,2014,2014,2014
Bloodborne,From Software,Sony Computer Entertainment,Sim,2015,2015,2015,2015
Bombshell,3D Realms / Interceptor Entertainment,3D Realms / Interceptor Entertainment,Console,2015,2015,2015,2015
Bound by Flame,Spiders,Focus Home Interactive,Não,2014,2014,2014,2014
Broforce,Free Lives Games,Devolver Digital,Console,2015,2015,2015,2015
Call of Duty: Advanced Warfare,Sledgehammer Games,Activision,Não,2014,2014,2014,2014
Call of Duty: Ghosts,Infinity Ward,Activision,Não,2013,2014,2013,2013
Call of Duty: Black Ops III,Treyarch,Activision,Não,2015,2015,2015,2015
Carmageddon: Reincarnation,Stainless Games,Stainless Games,Não,2014,2014,2014,2014
CastleStorm,Zen Studios,Zen Studios,Não,2014,2014,2014,2014
Chariot,Frima Studio,Frima Studio,Não,2014,2014,2014,2014
Chasm,"Discord Games, Inc.","Discord Games, Inc.",Console,2014,2014,2014,2014
Child of Light,Ubisoft Montreal,Ubisoft,Não,2014,2014,2014,2014
Citizens of Earth,Atlus,Eden Industries,Não,2014,2014,2014,2014
Contrast,Compulsion Games,Compulsion Games,Não,2013,2014,2013,2013
CounterSpy,Dynamighty,Dynamighty,Console,2014,2014,2014,2014
Crash Bandicoot N. Sane Trilogy,Vicarious Visions,Activision,Sim,2017,2017,2017,2017
Daylight,Zombie Studios,Atlus,Console,2014,2014,2014,—
Dead by Daylight,Behaviour Interactive,Starbreeze Studios,Console,2017,2017,2017,2017
Destiny,Bungie,JP Sony Computer EntertainmentWW Activision,Não,2014,2014,2014,2014
Detroit: Become Human,Quantic Dream,Sony Computer Entertainment,Sim,2017,2017,2017,2017
Diablo III,Blizzard Entertainment,Blizzard Entertainment,Não,2014,2014,2014,2014
Dirt 4,Codemasters,Codemasters,Não,2017,2017,2017,2017
Dirt Rally,Codemasters,Codemasters,Não,2017,2017,2017,2017
Dirt Rally 2.0,Codemasters,Codemasters,Não,2019,2019,2019,2019
Disney Infinity: Marvel Super Heroes,Avalanche Software,Disney Interactive Studios,Não,2014,2014,2014,2014
Doki-Doki Universe,HumaNature Studios,HumaNature Studios,Sony,2013,2014,2013,2013
Don't Starve,Klei Entertainment,Klei Entertainment,Console,2014,2014,2014,2014
Dragon Age: Inquisition,BioWare,Electronic Arts,Não,2014,2014,2014,2014
Dragon Fin Soup,Grimm Bros,Grimm Bros,Console,2015,2015,2015,2015
