Título,Género(s),Desenvolvedor(es),Publicadora(s),Data de Lançamento,Data de Lançamento,Data de Lançamento
Título,Género(s),Desenvolvedor(es),Publicadora(s),JP,AN,PAL
3D Billiards: Pool & Snooker Remastered,Desporto,Joindots,Joindots,Não lançado,19 de fevereiro de 2021,19 de fevereiro de 2021
Abandoned,Horror de sobrevivência,Blue Box Game Studios,Blue Box Game Studios,2021 Q4,2021 Q4,2021 Q4
Alba: A Wildlife Adventure,Aventura,Ustwo,Ustwo,2021,2021,2021
Alex Kidd in Miracle World DX,Plataforma,Jankenteam,Merge Games,24 de junho de 2021,24 de junho de 2021,24 de junho de 2021
Aliens,Aventura,Sabec Limited,Sebec,Não lançado,31 de março de 2021,31 de março de 2021
Aliens: Fireteam,AventuraTiro,Cold Iron Studios,20th Century Games,2021,2021,2021
All Elite Wrestling: The Game,Desporto,Yuke's,AEW Games,TBA,TBA,TBA
Among Us,Partydedução social,Innersloth,Innersloth,2021,2021,2021
Anno: Mutationem,Ação role-playing,ThinkingStars,ThinkingStars,2021,2021,2021
Anodyne 2: Return to Dust,Aventura,Analgesic Productions,Ratalatika Games,Não lançado,18 de fevereiro de 2021,18 de fevereiro de 2021
Apsulov: End of Gods,Horror,Angry Demon Studios,Digerati Distribution,Não lançado,2021,2021
Aragami 2,Action-adventurestealth,Lince Works,Lince Works,2021,2021,2021
Arcade Paradise,AdventureSimulação,Nosebleed Interactive,Wired Productions,2021,2021,2021
Arctic Awakening,Aventura,GoldFire Studios,GoldFire Studios,2022,2022,2022
Arrog,Aventura,Hermanos MagiaLEAP Game Studios,nakana.io,Não lançado,5 de fevereiro de 2021,5 de fevereiro de 2021
Art of Rally,Corridas,Funselektor Labs,Funselektor Labs,2021,2021,2021
Assassin's Creed Valhalla,Ação role-playing,Ubisoft Montreal,Ubisoft,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Astro's Playroom,3D Plataformaer,Japan Studio,Sony Interactive Entertainment,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Atelier Ryza 2: Lost Legends & the Secret Fairy,Role-playing,Gust Co. Ltd.,Koei Tecmo,03 de dezembro de 2021,26 de janeiro de 2021,29 de janeiro de 2021
Atomic Heart,Tiro na 1ª pessoa,Mundfish,Mundfish,TBA,TBA,TBA
Auto Chess,Auto battler,Dragonest Game,Dragonest Game,30 de março de 2021,30 de março de 2021,30 de março de 2021
Aztech: Forgotten Gods,Aventura,Lienzo,Lienzo,2021,2021,2021
Back 4 Blood,First-person TiroHorror de sobrevivência,Turtle Rock Studios,WB Games,12 de outubro de 2021,12 de outubro de 2021,12 de outubro de 2021
Balan Wonderworld,3D Plataformaer,Balan CompanyArzest,Square Enix,26 de março de 2021,26 de março de 2021,26 de março de 2021
Black Legend,Turn-based Estratégia,Warcave,Warcave,25 de março de 2021,25 de março de 2021,25 de março de 2021
Black Myth: Wukong,Ação role-playing,Game Science,Game Science,2023,2023,2023
Blast Brigade vs. the Evil Legion of Dr. Cread,Action-adventureplatform,Allods Team Arcade,My.Games,2021,2021,2021
Blood Bowl 3,Sportsturn-based strategy,Cyanide,Nacon,TBA,agosto de 2021,agosto de 2021
The Binding of Isaac: Repentance,Roguelike,Nicalis,Nicalis,TBA,2021 Q3,2021 Q3
Borderlands 3,Action role-playingfirst-person Tiro,Gearbox Software,2K,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
Braid Anniversary Edition,Puzzle-Plataformaer,Thekla,Thekla,2021,2021,2021
Bridge Constructor: The Walking Dead,Puzzle,ClockStone,Headup Games,15 de dezembro de 2021,15 de dezembro de 2021,15 de dezembro de 2021
Bugsnax,Adventureplatform,Young Horses,Young Horses,12 de novembro de 2020,12 de novembro de 2020,19 de novembro de 2020
C14 Dating,Dating Simulação,Ratalaika Games,Ratalaika Games,30 de março de 2021,30 de março de 2021,30 de março de 2021
