Título,Desenvolvedor,Publicadora,Lançamento
Título,Desenvolvedor,Publicadora,Lançamento
#BreakforcistBattle,Lucid Sheep Games,Lucid Sheep Games,12/Abr/2018
'n Verlore Verstand,Skobbejak Games (PTY.) LTD.,Skobbejak Games,07/Dez/2018
1-2-Switch,Nintendo EPD,Nintendo,03/Mar/2017
10 Second Run Returns,Blue Print,Blue Print,25/Jan/2018
1001 Ultimate Mahjong 2,Nawia Games,Nawia Games,25/Out/2018
12 is Better Than 6,Ink Stains Games,Hypetrain Digital,05/Mar/2019
12 Labours of Hercules,JetDogs / Zoom Out Games,JetDogs,24/Mar/2019
12 Orbits,Roman Uhlig,Roman Uhlig,27/Abr/2018
1917 - The Alien Invasion DX,Andrade Games,Korion,14/Jun/2018
1979 Revolution: Black Friday,Ink Stories,Digerati,02/Ago/2018
2064: Read Only Memories Integral,MidBoss,MidBoss,14/Ago/2018
20XX,Batterystaple Games,Batterystaple Games,10/Jul/2018
30-in-1 Game Collection,Digital Bards,Digital Bards,30/Mai/2019
36 Fragments of Midnight,Ratalaika Games / Petite Games,Ratalaika Games,14/Set/2017
39 Days to Mars,Its Anecdotal,Its Anecdotal,16/Mai/2019
3D Billiards - Pool & Snooker,Joindots,Joindots,29/Nov/2018
3D MiniGolf,Joindots,Joindots,01/Fev/2018
60 Seconds!,Robot Gentleman,Robot Gentleman,18/Dez/2017
6180 The Moon,Turtle Cream / PokPoong Games,Turtle Cream,24/Mai/2018
7 Billion Humans,Tomorrow Corporation,Tomorrow Corporation,25/Out/2018
88 Heroes - 98 Heroes Edition,Bitmap Bureau,Rising Star Games,12/Out/2017
911 Operator,Jutsu Games,Sonka,26/Out/2018
99Moves,EnjoyUp Games,EnjoyUp Games,08/Fev/2019
99Seconds,EnjoyUp Games,EnjoyUp Games,04/Jan/2019
99Vidas - Definitive Edition,QUByte Interactive,QUByte Interactive,27/Nov/2018
A Ch'ti Bundle,Seaven Studio,Seaven Studio,10/Jan/2019
A Dark Room,Amirali Rajan,Circle Ent.,12/Abr/2019
A Duel Hand Disaster: Trackher,AskAnEnemyStudios,AskAnEnemyStudios,10/Jun/2019
A Gummy's Life,EP Games,EP Games,25/Set/2018
A Hole New World,Mad Gear Games,Dolores Entertainment S.L.,01/Mar/2018
A Magical High School Girl,illuCallab,Sekai Games,07/Jun/2018
A Normal Lost Phone,Seaven Studio,Plug In Digital,01/Mar/2018
A Robot Named Fight,Matt Bitner Games,Hitcents,26/Abr/2018
Abyss,EnjoyUp Games,EnjoyUp Games,25/Dez/2018
